rank,release,gross,theaters,total_gross,release_date,distributor,estimated,scraped_at
123,Someone Like You,5937306,"1,802",5937306,Apr 5,Fathom Events,false,2025-12-13T12:16:56.182116
124,Trolls Band Together,5729950,"3,893",103270155,Nov 17,Universal Pictures,false,2025-12-13T12:16:56.182116
125,One Life,5716885,"1,009",5716885,Mar 15,Bleecker Street Media,false,2025-12-13T12:16:56.182116
126,Devara Part 1,5600000,"1,040",5600000,Sep 26,Prathyangira Cinemas,false,2025-12-13T12:16:56.182116
127,The Killer's Game,5404378,"2,623",5404378,Sep 13,Lionsgate,false,2025-12-13T12:16:56.182116
128,My Old Ass,5372282,"1,390",5372282,Sep 13,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
129,White Bird,5069171,"1,038",5069171,Oct 4,Lionsgate,false,2025-12-13T12:16:56.182116
130,My Hero Academia: You're Next,5041781,"1,845",5041781,Oct 11,Toho International,false,2025-12-13T12:16:56.182116
131,Kinds of Kindness,5038931,920,5038931,Jun 21,Searchlight Pictures,false,2025-12-13T12:16:56.182116
132,Drive-Away Dolls,5028215,"2,280",5028215,Feb 23,Focus Features,false,2025-12-13T12:16:56.182116
133,The Fire Inside,5021220,"2,032",8093190,Dec 25,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
134,I Saw the TV Glow,5017817,469,5017817,May 3,A24,false,2025-12-13T12:16:56.182116
135,Wicked Little Letters,5008178,"1,009",5008179,Mar 29,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
136,Dìdi,4839360,435,4839360,Jul 26,Focus Features,false,2025-12-13T12:16:56.182116
137,Origin,4689830,664,4689830,Dec 8,Neon,false,2025-12-13T12:16:56.182116
138,Land of Bad,4620045,"1,317",4620045,Feb 16,The Avenue Entertainment,false,2025-12-13T12:16:56.182116
139,The Exorcism,4530418,"2,240",4530418,Jun 21,Vertical Entertainment,false,2025-12-13T12:16:56.182116
140,Y2K,4375523,"2,108",4446596,Dec 6,A24,false,2025-12-13T12:16:56.182116
141,In a Violent Nature,4229999,"1,426",4229999,May 31,IFC Films,false,2025-12-13T12:16:56.182116
142,For King + Country: A Drummer Boy Christmas - Live,4227406,"1,540",4227406,Dec 5,Fathom Events,false,2025-12-13T12:16:56.182116
143,The Apprentice,4001910,"1,740",4001904,Oct 11,Briarcliff Entertainment,false,2025-12-13T12:16:56.182116
144,Babes,3800038,"1,118",3800038,May 17,Neon,false,2025-12-13T12:16:56.182116
145,Perfect Days,3766668,271,3766668,Feb 7,Neon,false,2025-12-13T12:16:56.182116
146,Oppenheimer,3761170,"3,761",330078895,Jul 21,Universal Pictures,false,2025-12-13T12:16:56.182116
147,All of Us Strangers,3703589,295,4050103,Dec 22,Searchlight Pictures,false,2025-12-13T12:16:56.182116
148,Shrek 22024 Re-release,3427910,"1,512",3427910,Apr 12,DreamWorks,false,2025-12-13T12:16:56.182116
149,Wish,3364674,"3,900",63973821,Nov 22,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
150,Solo Leveling: ReAwakening,3350693,846,3350693,Dec 6,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
151,Queer,3282117,460,3736813,Nov 27,A24,false,2025-12-13T12:16:56.182116
152,God's Not Dead: In God We Trust,3269322,"1,392",3269322,Sep 12,Fathom Events,false,2025-12-13T12:16:56.182116
153,The Lord of the Rings: The Fellowship of the Ring2024 Re-release,3256658,"1,529",3256658,Jun 7,Fathom Events,false,2025-12-13T12:16:56.182116
154,2024 Oscar Nominated Short Films: Documentary,3162293,367,3162293,Feb 16,ShortsTV,false,2025-12-13T12:16:56.182116
155,The Front Room,3092269,"2,095",3092269,Sep 6,A24,false,2025-12-13T12:16:56.182116
156,Strange Darling,3083595,"1,135",3083595,Aug 23,-,false,2025-12-13T12:16:56.182116
157,The Long Game,3060040,"1,030",3060040,Apr 12,-,false,2025-12-13T12:16:56.182116
158,Jesus Thirsts: The Miracle of the Eucharist,2927121,"1,112",2927121,Jun 4,Fathom Events,false,2025-12-13T12:16:56.182116
159,1992,2906073,875,2906073,Aug 30,Lionsgate,false,2025-12-13T12:16:56.182116
